"Url","Url"
"Title","Título"
"Description","Descripción"
"Preview Image","Preview Image"
"Get Video Information","Get Video Information"
"Hide from Product Page","Hide from Product Page"
"Role","Role"
"YouTube and Vimeo supported.","YouTube and Vimeo supported."
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first."
"Could not get preview image information. Please check your connection and try again.","Could not get preview image information. Please check your connection and try again."
"Click here to add videos.","Click here to add videos."
"New Video","New Video"
"Add Video","Add Video"
"Add video","Add video"
"Click here or drag and drop to add images.","Haga clic aquí o arrastrar y soltar para añadir imágenes."
"Delete video","Delete video"
"Delete image","Eliminar imagen"
"Make Base","Hacer Base"
"Hidden","Oculto"
"Alt Text","Alt Text"
"Title:","Title:"
"Uploaded:","Uploaded:"
"Uploader:","Uploader:"
"Duration:","Duration:"
"Video Error","Video Error"
"Unknown video type","Unknown video type"
"Invalid video url","Invalid video url"
"Youtube API key is invalid","Youtube API key is invalid"
"Video cant be shown due to the following reason: ","Video cant be shown due to the following reason: "
"Video not found","Video not found"
"Save","Guardar"
"Cancel","Cancelar"
"Delete","Borrar"
"Edit Video","Edit Video"
"Images and Videos","Imágenes y vídeos"
"Product Video","Product Video"
"YouTube API Key","YouTube API Key"
"Autostart base video","Autostart base video"
"Show related video","Show related video"
"Auto restart video","Auto restart video"
